state,account_length,area_code,intl_plan,voicemail_plan,no_of_vmail_msgs,total_day_mins,total_day_calls,total_day_charge,total_eve_mins,total_eve_calls,total_eve_charge,total_night_mins,total_night_calls,total_night_charge,total_intl_mins,total_intl_calls,total_intl_charge,customer_service_calls,churn,total_usage_mins,day_ratio,eve_ratio,night_ratio,intl_ratio,custserv_per_month,active_vmail,avg_cost_per_min
KS,128,415,0,1,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,0,717.2,0.36963190184049083,0.2752370329057445,0.3411879531511433,0.013943112102621304,0.234375,1,0.1700113164843455
OH,107,415,0,1,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,0,625.2,0.2584772872680742,0.3126999360204734,0.40690978886756235,0.021912987843889953,0.2803738317757009,1,0.16998762376237625
NJ,137,415,0,0,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,0,539.4000000000001,0.4512421208750463,0.2246941045606229,0.30144605116796436,0.022617723396366328,0.0,0,0.17000821692686935
OH,84,408,1,0,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,0,564.8,0.5300991501416431,0.10959631728045327,0.3486189801699717,0.011685552407932011,0.7142857142857143,0,0.17000668002672012
OK,75,415,1,0,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,0,512.0,0.3255859375,0.2896484375,0.3650390625,0.0197265625,1.2,0,0.17000599880023995
AL,118,510,1,0,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,0,654.1999999999999,0.3414857841638643,0.33720574747783555,0.3116783858147356,0.00963008254356466,0.0,0,0.17000895255147716
MA,121,510,0,1,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,0,786.8000000000001,0.27732587697000505,0.4429334011184545,0.27020843924758514,0.009532282663955262,0.7438016528925621,1,0.16998166819431718
MO,147,415,1,0,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0,479.00000000000006,0.32776617954070975,0.21524008350730686,0.44217118997912314,0.014822546972860123,0.0,0,0.17
LA,117,408,0,0,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,0,760.6000000000001,0.24257165395740202,0.4622666316066263,0.2837233762818827,0.011438338154088875,0.25641025641025644,0,0.1700271002710027
WV,141,415,1,1,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0,818.2,0.31605964311904183,0.2713273038376925,0.39892446834514783,0.013688584698117817,0.0,1,0.16999226604795048
IN,65,415,0,0,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,1,579.1000000000001,0.222932136073217,0.3945777931272664,0.3605594888620272,0.021930581937489202,1.8461538461538463,0,0.1700232378001549
