iter	Logloss
0	0.6875483014
1	0.6811375909
2	0.6757409722
3	0.6702250835
4	0.6659619109
5	0.6617185824
6	0.6566688638
7	0.6521197322
8	0.6469443726
9	0.6413328446
10	0.6361044058
11	0.6331022749
12	0.6285024522
13	0.6247701331
14	0.6206178205
15	0.6157512714
16	0.6114575237
17	0.6081883592
18	0.6041055791
19	0.6007012318
20	0.5969303708
21	0.5936404588
22	0.5902303921
23	0.5857375827
24	0.5813829533
25	0.5779908047
26	0.5760608121
27	0.5726021019
28	0.5691077791
29	0.566523675
30	0.5628859919
31	0.5603420578
32	0.5573147812
33	0.5553551447
34	0.5528653623
35	0.5495204363
36	0.546812506
37	0.5431006138
38	0.5405946962
39	0.538805103
40	0.5362029304
41	0.5333179605
42	0.5309779404
43	0.5278495584
44	0.5248250191
45	0.5225717795
46	0.5199160503
47	0.5182073454
48	0.5166684231
49	0.5147300096
