iter	Passed	Remaining
0	11	2889
1	22	2835
2	33	2786
3	44	2749
4	57	2820
5	69	2826
6	79	2773
7	91	2754
8	102	2738
9	115	2776
10	128	2789
11	144	2873
12	157	2870
13	169	2853
14	179	2817
15	184	2698
16	194	2670
17	205	2647
18	216	2630
19	227	2614
20	238	2597
21	243	2523
22	254	2515
23	266	2513
24	277	2500
25	288	2483
26	300	2481
27	308	2447
28	320	2440
29	331	2431
30	342	2419
31	351	2392
32	363	2387
33	373	2375
34	384	2364
35	398	2367
36	410	2362
37	415	2317
38	426	2309
39	437	2299
40	449	2292
41	458	2270
42	468	2257
43	491	2303
44	502	2288
45	509	2259
46	520	2247
47	531	2237
48	544	2231
49	554	2219
50	565	2205
51	576	2194
52	587	2184
53	597	2170
54	609	2160
55	621	2153
56	632	2140
57	644	2134
58	656	2125
59	667	2113
60	678	2101
61	685	2077
62	695	2064
63	707	2054
64	717	2043
65	729	2032
66	741	2024
67	753	2017
68	765	2008
69	777	1999
70	789	1989
71	803	1985
72	815	1976
73	827	1967
74	839	1958
75	851	1949
76	863	1939
77	873	1927
78	885	1916
79	897	1907
80	910	1898
81	921	1887
82	932	1876
83	943	1863
84	954	1852
85	965	1840
86	976	1828
87	987	1817
88	999	1808
89	1011	1797
90	1022	1786
91	1034	1776
92	1046	1765
93	1056	1752
94	1067	1740
95	1078	1730
96	1090	1719
97	1101	1707
98	1112	1697
99	1124	1686
100	1134	1673
101	1146	1663
102	1158	1652
103	1169	1642
104	1180	1630
105	1191	1618
106	1202	1607
107	1213	1594
108	1224	1583
109	1235	1572
110	1251	1566
111	1264	1557
112	1278	1550
113	1294	1543
114	1310	1538
115	1324	1530
116	1341	1525
117	1357	1518
118	1372	1510
119	1387	1503
120	1406	1499
121	1421	1491
122	1436	1482
123	1449	1473
124	1463	1463
125	1476	1453
126	1490	1443
127	1506	1436
128	1523	1429
129	1537	1418
130	1550	1408
